Title,Detail URL,Location,Bedrooms,Bathrooms,House Size,Price,Property Type,Listing Date,Amenities
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116775957,Westlands,3,4.5,152 m²,KSh 21 000 000,Apartment / Flat,07-Jan-26,"Life at Amani Residence extends beyond your apartment — enjoy a collection of luxury facilities designed for wellness, recreation, and community living:, Fully Equipped Gym – Stay active with convenience, Two Heated Infinity Pools – Perfect for relaxation and fitness, Children’s Playgrounds – Safe and fun spaces for little ones, Yoga Studio – Calm, wellness-focused retreat, Reading Lounge / Community Library – Quiet spaces for learning and leisure, Borehole Water + Purifier – Clean, reliable water supply, Full Backup Generator – Continuous power supply, 24/7 Security with CCTV – Total peace of mind, BBQ Area & Relaxation Zone – Ideal for family and community gatherings, Car–Pedestrian Separation – Enhanced safety and comfort"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116777903,Kileleshwa,1,1,65 m²,KSh 5 720 000,Apartment / Flat,07-Jan-26,"Rooftop swimming pool, Rooftop gym, Café / restaurant, Residents’ lounge, Landscaped terrace deck & courtyard, Patio gaming zone, Borehole water supply, Backup generator, Smart lock access system, Children’s play area, High-speed lifts, Reception and lobby area, 24/7 security, Gs Arcade Mall – 2 minutes drive, Quickmart Junction – 5 minutes drive, Lavington Mall – 7 minutes drive, Yaya Centre – 9 minutes drive, Ideal for rental investment or owner-occupation in a prime Kileleshwa location., Contact/ whatsapp: +254721514314"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116922975,Westlands,2,2,21 m²,KSh 13 000 000,Apartment / Flat,13-Feb-26,
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-116797869,Lower Kabete,1,2,4.08 acres,KSh 405 000 000,Vacant Land / Plot,13-Jan-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116789484,Kileleshwa,4,4,130 m²,KSh 13 000 000,Apartment / Flat,12-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-syokimau-116950130,Syokimau,2,2,99 m²,KSh 7 800 000,Apartment / Flat,20-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116765582,Kilimani,1,1,55 m²,KSh 5 500 000,Apartment / Flat,01-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116864974,Westlands,1,1,72 m²,KSh 7 800 000,Apartment / Flat,30-Jan-26,"•	Swimming pool, •	24hr security, •	Spacious rooms, Call for viewing"
Apartment / Flat,https://www.property24.co.ke/apartment-flat-for-sale-in-westlands-116897333,Westlands,2,1,70 m²,KSh 6 800 000,Apartment / Flat,07-Feb-26,"Luminara elevates everyday living with resort-style facilities:, ?? Infinity Rooftop Pool with spectacular city views, ?? Sky Lounge & Rooftop Dining Club — perfect for entertaining, ? Stylish Café & Business Lounge for work and leisure, ?? Fully Equipped Gym & Wellness Studio, ??? Concierge Reception with grand lobby and hotel-style service, ?? Reliable Backup Power & Water Supply, ?? Four High-Speed Elevators for seamless movement, Sarit Centre & Westgate Shopping Mall, Major corporate offices and business hubs, Premier hospitals like MP Shah & Aga Khan University Hospital, Popular restaurants, cafés, and entertainment spots"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116802787,Westlands,1,1,71 m²,KSh 8 000 000,Apartment / Flat,14-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116764409,Kilimani,1,1,55 m²,KSh 5 500 000,Apartment / Flat,31-Dec-25,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116951658,Westlands,1,1,50 m²,KSh 7 000 000,Apartment / Flat,21-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116782901,Kileleshwa,2,2,110 m²,KSh 11 500 000,Apartment / Flat,08-Jan-26,"Modern Living: Spacious apartments designed for ultimate comfort and style., Security and Convenience: Advanced security features and reliable utilities."
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116946048,Kileleshwa,2,2,110 m²,KSh 10 000 000,Apartment / Flat,20-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116763815,Westlands,1,1,64 m²,KSh 8 790 000,Apartment / Flat,30-Dec-25,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116763548,Westlands,1,1,79 m²,KSh 9 022 000,Apartment / Flat,30-Dec-25,
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-peponi-116886894,Peponi,2,2,0.5 acres,KSh 250 000 000,Vacant Land / Plot,05-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116763704,Westlands,1,1,70 m²,KSh 10 000 000,Apartment / Flat,30-Dec-25,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kyuna-116947590,Kyuna,3,4,160 m²,KSh 560 000 000,Vacant Land / Plot,20-Feb-26,
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-runda-116786634,Runda,5,5,400 m²,KSh 150 000 000,House,09-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116762664,Westlands,2,2,179 m²,KSh 23 000 000,Apartment / Flat,29-Dec-25,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116768208,Kilimani,1,1,75 m²,KSh 8 200 000,Apartment / Flat,03-Jan-26,"Fully equipped gym, Rooftop Swimming pool, Rooftop terrace for parties, Kid’s play area, Reception/Club house, Rooftop common kitchen, Full Back-up generator, Borehole and County water supply, Water treatment system, 24/7 management team, Smart lock, Ceiling plaster, High speed lifts, CCTV and access control system, Spotlight for all the rooms, Fully fitted kitchen(with stoves, oven, microwave, fridge, hood, washing machine)"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116812137,Westlands,3,3,203 m²,KSh 32 000 000,Apartment / Flat,16-Jan-26,"Sarit Centre, Westgate Mall, Mp Shah Hospital, Aga Khan University Hospital, International schools, Major banks, restaurants & corporate offices"
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-syokimau-116926728,Syokimau,3,4.5,168 m²,KSh 4 000 000,Vacant Land / Plot,16-Feb-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116781743,Westlands,4,4,150 m²,KSh 15 000 000,Apartment / Flat,08-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-lavington-116780513,Lavington,3,3,110 m²,KSh 11 000 000,Apartment / Flat,08-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116766247,Westlands,1,1,78 m²,KSh 9 600 000,Apartment / Flat,02-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116814673,Westlands,3,3,143 m²,KSh 9 700 000,Apartment / Flat,17-Jan-26,"?Large windows that allows alot of natural light in the spacious  rooms, ?spacious open/closed kitchen with ample storage  space, ?Large wardrobe with enough  storage space for his/hers, ?all the units comes with a balcony, ?high speed lifts; two per floor, ?2 boreholes, ?Semi Olympic size swimming pool with both the children and adults sections, ?Kids play area, ?Shopping complex, ?24 hour manned security gate, ?CCTV surveillance, ? Among others, Asking prices, A. Studio size is 38sqm selling at ksh 3.5m, b. One Bedroom size is 68sqm selling at ksh 5.5m, c. Two Bedroom size is 109sqm selling at ksh 7M, D.Three bedroom without dsq Size is 143sqm selling  at ksh 9.7m, e.Three bedroom with a dsq Size is 155sqm selling  at ksh 11M, F. Four Bedroom with a dsq Size is 173sqm selling at ksh 13.5M, For viewing and more information call/WhatsApp on 0724415336"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116765596,Westlands,3,4.5,200 m²,KSh 17 054 400,Apartment / Flat,01-Jan-26,"Fully equipped gymnasium, Swimming pool, Backup power generator, CCTV & 24-hour security, 4 high-speed lifts, Spacious retail shops, Premium quality construction, Timeless architectural design, Customer-first service and support"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116936072,Westlands,1,2,78 m²,KSh 8 990 000,Apartment / Flat,18-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116834768,Kilimani,3,3,216 m²,KSh 30 000 000,Apartment / Flat,22-Jan-26,"•	Prestige Plaza – shopping and services along Ngong Road., •	Local supermarkets, pharmacies and convenience stores are scattered through the neighbourhood., Residents enjoy easy access to malls, fashion and grocery stores, banks, and everyday services within minutes, Dining, Cafés & Social Spots, •	Trendy cafés and coffee shops, as well as local and international restaurants., •	Bars, lounges, and nightlife venues catering to both casual and upscale crowds., Completion December 2026"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-lavington-116780789,Lavington,2,1,70 m²,KSh 7 000 000,Apartment / Flat,08-Jan-26,
3 Bedroom Townhouse,https://www.property24.co.ke/3-bedroom-townhouse-for-sale-in-syokimau-116849594,Syokimau,3,3,210 m²,KSh 11 000 000,Townhouse,27-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116776327,Kilimani,2,1,70 m²,KSh 7 000 000,Apartment / Flat,07-Jan-26,
Commercial Property,https://www.property24.co.ke/commercial-property-for-sale-in-industrial-area-116949626,Industrial Area,1,1,1 acres,KSh 280 000 000,Commercial Property,20-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116806481,Westlands,2,2,90 m²,KSh 16 380 000,Apartment / Flat,15-Jan-26,"– Resident Reception equivalent to a 5 Star Hotel Standard with 24 hours Service and Concierge, – Branded Multi Cuisine Restaurant, – Convenience Store at GF, – Children Day Care Facility, – Pet Grooming and Pet Hotel Facility, – Rooftop Infinity Swimming Pool; Poolside Seating and Sun Deck, – Zumba & Aerobics Studio for High Intensity Exercises, – CCTV & 24 Hour Security, – Key Card Access, – Sauna and Massage Rooms, – Gym Fitted Out with Equipment, – Luxury Unisex Salon, – Panoramic Rooftop Bar and Cigar Lounge, – Fully Backed Up Generator, – Security and Fire Standards to EU and World Bank Requirements, – Wifi Internet Connection, – Bespoke Fully-fitted Modular Kitchen with Lavish Composite Stone, – Countertops and Backsplashes, – Fully Integrated Wardrobes in The Bedrooms, – Anti – Skid Porcelain Floor Tiles, – Imported Premium Sanitary Ware, – Expansive Balconies with Uninterrupted Views"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116790854,Westlands,3,3,120 m²,KSh 12 000 000,Apartment / Flat,12-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-embakasi-116919575,Embakasi,2,2,21 m²,KSh 8 500 000,Apartment / Flat,13-Feb-26,
4 Bedroom Townhouse,https://www.property24.co.ke/4-bedroom-townhouse-for-sale-in-kiambu-road-116779870,Kiambu Road,4,5,250 m²,KSh 28 000 000,Townhouse,08-Jan-26,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116936201,Kileleshwa,4,4,230 m²,KSh 23 000 000,Apartment / Flat,18-Feb-26,
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-ridgeways-116951653,Ridgeways,2,2,2.5 acres,KSh 208 000 000,Vacant Land / Plot,21-Feb-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116931923,Kileleshwa,2,2,119 m²,KSh 11 200 000,Apartment / Flat,17-Feb-26,"? Low-density layout for privacy, ? Sauna & Spa, ? Mini Mart within the development, ? Small Golf Practice Area, ? On-site Laundry Shop, ? Full Backup Generator, ? Borehole & large water storage, ? High-speed lifts, ? CCTV surveillance & 24/7 security, ?? PRIME LOCATION – KILELESHWA, Minutes from:, ? Lavington, ? Yaya Centre, ? Leading schools & hospitals, A prime address with strong capital appreciation potential., Cash Plan, Balance within 30 days, Installment Plan, 10% every 3 months (7 installments), Final 10% before completion, ?? Call / WhatsApp: 0748158876"
4 Bedroom House,https://www.property24.co.ke/4-bedroom-house-for-sale-in-loresho-116854023,Loresho,4,4,350 m²,KSh 120 000 000,House,27-Jan-26,"• Two private residents’ clubhouses, • Designer interiors with premium luxury finishes, • Curated, serene living environments, • Peaceful walking paths and expansive green spaces, • 24/7 security within a fully gated community"
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-kiambu-road-116845788,Kiambu Road,5,3,345 m²,KSh 38 000 000,House,26-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116881547,Westlands,1,1,53 m²,KSh 5 300 000,Apartment / Flat,04-Feb-26,
5 Bedroom House,https://www.property24.co.ke/5-bedroom-house-for-sale-in-lower-kabete-116808306,Lower Kabete,5,5,400 m²,KSh 110 000 000,House,15-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-lavington-116854464,Lavington,2,1,68 m²,KSh 6 800 000,Apartment / Flat,28-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116805126,Westlands,2,2,82 m²,KSh 9 880 000,Apartment / Flat,15-Jan-26,"•	Fully equipped gym, •	Heated swimming pool, •	Rooftop lounge with panoramic views, •	Modern reception lobby, •	High-speed lifts, •	Full backup generator, •	Borehole and water storage system, •	Secure access control systems, •	24/7 security with CCTV surveillance, Nearby Public Facilities & Infrastructure:, •	Close proximity to major shopping malls including Sarit Centre, Westgate Mall, and The Mall (Parklands), •	Well-served by public transport, ride-hailing services, and taxis, •	Near leading healthcare facilities such as Aga Khan University Hospital, MP Shah Hospital, Medanta Africare, AAR Clinics, and specialist medical centres, •	Surrounded by banks, ATMs, supermarkets, pharmacies, and business services, •	Close to a wide range of restaurants, cafés, lounges, and entertainment hubs, •	Short drive to recreational and green spaces including City Park and Karura Forest, •	Nearby religious centres and community facilities, •	Access to essential public services including post offices, security services, and administrative offices, Kindly note that prices and availability are subject to variation and the developer’s discretion., Advertised prices are as provided at the time of listing."
4 Bedroom House,https://www.property24.co.ke/4-bedroom-house-for-sale-in-peponi-116769108,Peponi,4,4,300 m²,KSh 85 000 000,House,04-Jan-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kileleshwa-116926752,Kileleshwa,1,1,66 m²,KSh 6 500 000,Apartment / Flat,16-Feb-26,"?? Swimming pool, ?? Fully equipped gym & yoga room, ?? Kids play area, ? On-site coffee bar & restaurant, ?? Massage/wellness room, ? Borehole water supply & full backup generator, ?? High-speed lifts, ?? 24/7 CCTV surveillance & security, ?? Project & Payment Info, Completion: Expected Q3 2028 (mid-to-late 2028)."
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-runda-116935020,Runda,5,5,4321 m²,KSh 125 000 000,Townhouse,17-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116939037,Westlands,3,3,100 m²,KSh 13 500 000,Apartment / Flat,18-Feb-26,"•	Swimming Pool: Relax and unwind in our elegant swimming pool., •	Children’s Play Area: A safe and engaging space for children., •	Fully-Equipped Gym: Stay fit with our modern gym facilities., •	Generator: Ensure continuous power supply with our backup generator., •	Borehole & Water Storage Facilities: Secure and ample water resources., •	Satellite TV and Fiber Optic Infrastructure: Enjoy high-speed internet and top-notch entertainment., •	CCTV & Electric Fencing: Enhanced security for peace of mind., •	Intercom System: Convenient internal communication., •	24/7 Manned Security: Around-the-clock security services., •	Rooftop BBQ & Recreation Area: Perfect for social gatherings and enjoying panoramic views., Contact Us:, Don’t miss the opportunity to own a piece of luxury., Contact us today for more details and to schedule your visit."
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116926197,Kilimani,3,3,182 m²,KSh 22 800 000,Apartment / Flat,16-Feb-26,
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-kitisuru-116773410,Kitisuru,5,5,350 m²,KSh 80 000 000,Townhouse,06-Jan-26,"Backup generator for common areas, Borehole + water tanks, Common Swimming Pool, Club House with BBQ Facilities, Children’s Playground, Cabro Paved Roads, Intercom connection between guardhouse and individual units, Boundary wall with electric fence, 24 Hour Security"
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930759,Kilimani,2,2,120 m²,KSh 11 800 000,Apartment / Flat,17-Feb-26,"• Swimming Pool, • Children play Ground, • Mini Library, • Purifuied Water, • Borehole Water, • Backup Generator, • Circular Walkway, • Main Entrance, Dropoff Point, • Automatic Sliding"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116759537,Westlands,1,1,72 m²,KSh 8 400 000,Apartment / Flat,23-Dec-25,"•	Fully Equipped Gym: Stay fit and healthy, •	Backup Generator: Uninterrupted power supply with our reliable backup generator., •	Shower Locker Room: Convenient and secure locker room facilities., •	Yoga Room: Enhance your well-being in our serene yoga room., •	Two Heated Swimming Pools, •	CCTV Surveillance: Experience peace of mind with 24/7 CCTV surveillance., •	Indoor Kid Play Area, •	Borehole Water Supply: Reliable water supply., •	Intercom system, •	Reception area, •	Indoor relaxing room, •	Outdoor relaxing area, •	Rooftop public BBQ area, •	Rooftop view restaurant, •	Electric fence, Seamlessly blends luxury, convenience, and an unbeatable location. Secure your unit today!, Completion Date: Q3 2027,"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116819949,Kilimani,3,3,173 m²,KSh 24 000 000,Apartment / Flat,19-Jan-26,"•	Low-density design with only two units per floor"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-lavington-116819512,Lavington,4,3,100 m²,KSh 24 000 000,Apartment / Flat,19-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116837898,Kileleshwa,3,3,150 m²,KSh 12 800 000,Apartment / Flat,23-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116766577,Kilimani,3,4,182 m²,KSh 24 000 000,Apartment / Flat,02-Jan-26,"# 10 High-Speed Elevators, # Events & Community Center, # Kids’ Play Zone with Cycling Track, # Heated Swimming Pool for all-season relaxation, # Fully Equipped Gym for active living, # CCTV Surveillance & 24/7 Security with Intercom access, # Reliable Borehole & County Water Connection, # Elegant Light Fixtures & Large Windows for ample natural light, # Modern Fitted Kitchens with premium appliances, # Extended Balconies offering scenic city views, Available Units & Prices, Why Invest Here?, High Rental Yields: Perfect for investors seeking strong returns through serviced or long-term rentals., Luxury Urban Living: Designed for those who value comfort, convenience, and a dynamic city lifestyle."
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116760336,Westlands,2,3,135 m²,KSh 15 150 000,Apartment / Flat,24-Dec-25,"Kids Play Area, High-Speed Lifts, Fully Equipped Gym, Swimming Pool, Power Back-up Generator, CCTV Surveillance"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116758499,Kilimani,1,1,60 m²,KSh 6 900 000,Apartment / Flat,23-Dec-25,"Elevators, Events Center, Kids Play Area, Lights Fixtures, Fitted Kitchens"
4 Bedroom House,https://www.property24.co.ke/4-bedroom-house-for-sale-in-langata-116814653,Langata,4,4,246 m²,KSh 35 900 000,House,17-Jan-26,
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-karen-116923628,Karen,5,7,546 m²,KSh 150 000 000,Townhouse,14-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116776430,Westlands,1,1,45 m²,KSh 4 500 000,Apartment / Flat,07-Jan-26,
1 Bedroom Townhouse,https://www.property24.co.ke/1-bedroom-townhouse-for-sale-in-donholm-116835289,Donholm,1,1,259 m²,KSh 60 000 000,Townhouse,22-Jan-26,
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-kyuna-116934259,Kyuna,5,6.5,900 m²,KSh 150 000 000,Vacant Land / Plot,17-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116753791,Westlands,1,1,65 m²,KSh 6 500 000,Apartment / Flat,19-Dec-25,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-rhapta-road-116898600,Rhapta Road,3,3.5,173 m²,KSh 39 000 000,Apartment / Flat,08-Feb-26,
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lavington-116753639,Lavington,5,6.5,624 m²,KSh 105 000 000,Townhouse,19-Dec-25,"Children’s play area, Gym space, Community:, Gated community comprising only 8 units, Ready For Immediate Occupation"
5 Bedroom Apartment / Flat,https://www.property24.co.ke/5-bedroom-apartment-flat-for-sale-in-westlands-116919403,Westlands,5,5,365 m²,KSh 45 000 000,Apartment / Flat,13-Feb-26,"Arrival Concierge, Beauty Parlor, Business Center, Residence Lounge, Health Bar, Gym and Infinity Pool with Rain Shower, Jogging/Walking Track, Library/Quiet Area, Spa & Yoga Center, Games Room, Smart Access Solutions, In-Building Retail & Laundry, Sports Facilities: Basketball, Padel, etc., Kids Day Care"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116930707,Westlands,1,1,53 m²,KSh 7 000 000,Apartment / Flat,16-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-kilimani-116771720,Kilimani,1,1,65 m²,KSh 7 150 000,Apartment / Flat,05-Jan-26,"68 Sqm at, 94 Sqm at KShs. 10.3 Million - Master Ensuite, 96 Sqm at KShs. 10.55 Million - Master Ensuite, 100 Sqm at KShs. 11 Million - Master Ensuite, 135 Sqm at KShs. 14.8 Million - Two Ensuite, 173 Sqm at KShs. 18.9 Million - All Ensuite Plus Dsq"
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-lavington-116866370,Lavington,1,1,161 m²,KSh 6 600 000,Apartment / Flat,30-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116748059,Kilimani,2,2,110 m²,KSh 11 500 000,Apartment / Flat,17-Dec-25,"It is in close proximity to shopping facilities such as The Junction Mall,, The development comprises of affordable and spacious:, Project Features:, Full backup generator, Well-equipped gym, Heated swimming pool, Children's play area, Borehole water High, speed lifts, Circular runway"
Apartment / Flat,https://www.property24.co.ke/apartment-flat-for-sale-in-kilimani-116751002,Kilimani,2,1,45 m²,KSh 5 500 000,Apartment / Flat,18-Dec-25,
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kilimani-116915711,Kilimani,4,4,148 m²,KSh 14 800 000,Apartment / Flat,12-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-parklands-116808411,Parklands,3,3,181 m²,KSh 15 900 000,Apartment / Flat,15-Jan-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116813400,Kileleshwa,3,3,150 m²,KSh 27 000 000,Apartment / Flat,17-Jan-26,
2 Bedroom Apartment / Flat,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116752789,Westlands,2,2,102 m²,KSh 11 000 000,Apartment / Flat,18-Dec-25,
5 Bedroom Townhouse,https://www.property24.co.ke/5-bedroom-townhouse-for-sale-in-lavington-116778190,Lavington,5,6.5,900 m²,KSh 220 000 000,Townhouse,07-Jan-26,"Fire Place, Servants Quarters, 24/7 Security, Double Volume Spaces, Swimming Pool, Double Height Dining"
4 Bedroom Apartment / Flat,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-kileleshwa-116915744,Kileleshwa,4,4,228 m²,KSh 26 000 000,Apartment / Flat,12-Feb-26,
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-116786279,Kilimani,3,3,173 m²,KSh 24 000 000,Apartment / Flat,09-Jan-26,"10 High-speed elevators, Swimming pool, Fully equipped gym, Events center & recreational lounge, Cycling path and kids’ play area, CCTV surveillance and intercom system, Borehole and backup water supply, Beautiful lighting fixtures and modern finishes, Fitted kitchens with high-quality fittings, Nearby Public Facilities, Conveniently located close to:, Yaya Centre, Adlife Plaza, and Junction Mall for shopping and dining, Reputable schools such as Makini, French School, and Riara Schools, Easy access to public transport, Kindaruma Road, and Argwings Kodhek Road"
3 Bedroom Apartment / Flat,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116747077,Westlands,3,4,160 m²,KSh 24 610 000,Apartment / Flat,16-Dec-25,
Vacant Land / Plot,https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-116915354,Karen,1,1,4 000 m²,KSh 37 000 000,Vacant Land / Plot,12-Feb-26,
1 Bedroom Apartment / Flat,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116744069,Westlands,1,1,58 m²,KSh 8 000 000,Apartment / Flat,15-Dec-25,"• Heated rooftop pool with panoramic city views, • State-of-the-art gym & wellness suite, • VR golf simulator & exclusive private cinema, • Residents’ lounge & professional business meeting spaces, • Trendy coffee shop & lounge bar, • Onsite mini mart & pharmacy for ultimate convenience, • Kids’ play area & indoor gaming zone, • Full power backup, borehole water supply, and high security, ?? Ideal for Living or Letting, ?? Book a Site Visit or Get More Info Now – +254 787 855 213"
